@context,@type,name,url,image,description,sku,brand-type,brand-name,offers-type,offers-sku,offers-availability,offers-price,offers-priceCurrency,offers-url
http://schema.org/,Product,CAMO NATURAL LEAF WRAPS - 25CT BOX,https://awswholesale.com/products/camo-natural-leaf-wraps-25ct-box-103242,https://awswholesale.com/cdn/shop/files/103242_1000x.jpg?v=1682697449,,103242|WATERMELON,"dict_values(['Thing', 'Camo'])","dict_values(['Offer', '103242|WATERMELON', 'http://schema.org/InStock', 15.0, 'USD', 'https://awswholesale.com/products/camo-natural-leaf-wraps-25ct-box-103242?variant=42345649242334'])"
http://schema.org/,Product,WILD BERRY INCENSE BUNDLE,https://awswholesale.com/products/wild-berry-incense-bundle-104324,https://awswholesale.com/cdn/shop/products/104324_5EBLEND22_1000x.jpg?v=1642181778,,104324|CHINA RAIN,"dict_values(['Thing', 'Wild Berry'])","dict_values(['Offer', '104324|CHINA RAIN', 'http://schema.org/InStock', 8.5, 'USD', 'https://awswholesale.com/products/wild-berry-incense-bundle-104324?variant=42344880931038'])"
http://schema.org/,Product,ROYAL BLUNTS HEMPARILLO 15CT BOX,https://awswholesale.com/products/royal-blunts-hemparillo-15ct-box-100053,https://awswholesale.com/cdn/shop/products/100053_5Ecalifire_1000x.jpg?v=1642180862,,100053|BERRIES,"dict_values(['Thing', 'Royal Blunts'])","dict_values(['Offer', '100053|BERRIES', 'http://schema.org/InStock', 10.0, 'USD', 'https://awswholesale.com/products/royal-blunts-hemparillo-15ct-box-100053?variant=42344755855582'])"
http://schema.org/,Product,KING PALM 2PK MINI POUCH ROLL (BOX OF 20 PACKS),https://awswholesale.com/products/king-palm-2pk-mini-pouch-roll-box-of-20-packs-100056,https://awswholesale.com/cdn/shop/products/100056_5ESTRAWSHORTCAKE_1000x.jpg?v=1685818062,CONTAINS 20 PACKS PER BOX / 2 MINI LEAF ROLLS PER PACK,100056|BANANA CREAM,"dict_values(['Thing', 'King Palm'])","dict_values(['Offer', '100056|BANANA CREAM', 'http://schema.org/InStock', 28.5, 'USD', 'https://awswholesale.com/products/king-palm-2pk-mini-pouch-roll-box-of-20-packs-100056?variant=42346128376030'])"
http://schema.org/,Product,BILLIONAIRE HEMP WRAPS - 25 PACK,https://awswholesale.com/products/billionaire-hemp-wraps-25-pack-100052,https://awswholesale.com/cdn/shop/products/100052_5Eballinblueberr_33d712a2-6768-4cc9-b08d-6a5cbcddceed_1000x.jpg?v=1642182552,,100052|BALLIN BLUEBERR,"dict_values(['Thing', 'Billionaire'])","dict_values(['Offer', '100052|BALLIN BLUEBERR', 'http://schema.org/InStock', 12.5, 'USD', 'https://awswholesale.com/products/billionaire-hemp-wraps-25-pack-100052?variant=42344751366366'])"
http://schema.org/,Product,TWISTED HEMP WRAPS 15CT,https://awswholesale.com/products/twisted-hemp-wraps-15ct-100139,None,,100139|BLUE BANANA,"dict_values(['Thing', 'Twisted Hemp'])","dict_values(['Offer', '100139|BLUE BANANA', 'http://schema.org/InStock', 8.75, 'USD', 'https://awswholesale.com/products/twisted-hemp-wraps-15ct-100139?variant=42344899969246'])"
http://schema.org/,Product,SMOKEBUDDY ORGINAL PERSONAL AIR FILTER,https://awswholesale.com/products/smokebuddy-orginal-personal-air-filter-101150,https://awswholesale.com/cdn/shop/products/101150_5Eblack_1000x.jpg?v=1642185589,,101150|BLACK,"dict_values(['Thing', 'Smoke Buddy'])","dict_values(['Offer', '101150|BLACK', 'http://schema.org/InStock', 10.0, 'USD', 'https://awswholesale.com/products/smokebuddy-orginal-personal-air-filter-101150?variant=42345193406686'])"
http://schema.org/,Product,QUICK FIX PLUS 3OZ SYNTHETIC URINE,https://awswholesale.com/products/quick-fix-plus-3oz-synthetic-urine-100281,https://awswholesale.com/cdn/shop/products/100281_jpg_1000x.jpg?v=1642438966,,100281,"dict_values(['Thing', 'Quick Fix'])","dict_values(['Offer', '100281', 'http://schema.org/InStock', 5.5, 'USD', 'https://awswholesale.com/products/quick-fix-plus-3oz-synthetic-urine-100281?variant=42345998123230'])"
http://schema.org/,Product,HEMP ZONE RILLO HEMP WRAP - 15CT BOX,https://awswholesale.com/products/hemp-zone-rillo-hemp-wrap-15ct-box-105228,https://awswholesale.com/cdn/shop/products/105228_1000x.jpg?v=1643668886,5 WRAPS FOR $1  CONTAINS 15 PACKS PER BOX / 5 WRAPS PER PACK,105228|BANANA,"dict_values(['Thing', 'Hemp Zone'])","dict_values(['Offer', '105228|BANANA', 'http://schema.org/InStock', 10.5, 'USD', 'https://awswholesale.com/products/hemp-zone-rillo-hemp-wrap-15ct-box-105228?variant=42356104364254'])"
http://schema.org/,Product,JUICY JAY'S 1 1/4 ROLLING PAPERS - 24CT BOX,https://awswholesale.com/products/juicy-jay-s-1-1-4-rolling-papers-24ct-box-100080,https://awswholesale.com/cdn/shop/products/100080_5Eabsinth_051dec8d-74d0-4149-b2b0-899c22a62291_1000x.jpg?v=1642183555,,100080|BANANA,"dict_values(['Thing', 'Juicy Jay'])","dict_values(['Offer', '100080|BANANA', 'http://schema.org/InStock', 24.0, 'USD', 'https://awswholesale.com/products/juicy-jay-s-1-1-4-rolling-papers-24ct-box-100080?variant=42344770896094'])"
